Category,SubCategory,Extension,Products
Household,Bathroom,Toilet Cleaners,0
Household,Cleaning Goods,Air Fresheners,192
Household,Cleaning Goods,Bathroom Cleaners,43
Household,Cleaning Goods,Disinfectant & Bleach,40
Household,Cleaning Goods,Drain Cleaners & Solvents,14
Household,Cleaning Goods,"Fabric, Metal & Furniture Care",16
Household,Cleaning Goods,Floor/Carpet Cleaners,39
Household,Cleaning Goods,Gloves,46
Household,Cleaning Goods,Kitchen Cleaners,25
Household,Cleaning Goods,"Mops, Buckets & Brooms",64
Household,Cleaning Goods,Mould & Moisture Treatments,4
Household,Cleaning Goods,Multipurpose Cleaners,121
Household,Cleaning Goods,"Sponges, Cloths & Wipes",131
Household,Cleaning Goods,Window & Glass Cleaners,10
Household,Garden & Outdoors,Automotive,80
Household,Garden & Outdoors,Garden Décor & Accessories,4
Household,Garden & Outdoors,"Gloves, Tools & Watering",21
Household,Garden & Outdoors,Insecticide & Weed Control,27
Household,Garden & Outdoors,Lawn Care & Plant Food,9
Household,Garden & Outdoors,Potting Mix & Fertilisers,19
Household,Garden & Outdoors,Seeds & Plants,24
Household,Hardware,"Adhesives, Glues & Tapes",25
Household,Hardware,Hooks & Fasteners,23
Household,Hardware,Tools & Accessories,69
Household,Homewares,Water Filtration,0
Household,Kitchen,"​​Cling Wrap, Foil & Baking Paper:",0
Household,Kitchen,Dishwashing,142
Household,Kitchen,Garbage Bags,58
Household,Kitchen,Gloves,46
Household,Kitchen,Lunch Boxes & Drink Bottles,114
Household,Kitchen,Sandwich & Freezer Bags,56
Household,Laundry,Fabric Softener,72
Household,Laundry,Ironing & Accessories,25
Household,Laundry,Laundry Liquid,90
Household,Laundry,Laundry Powder,33
Household,Laundry,"Pegs, Baskets & Hangers",26
Household,Laundry,Stain Removal,71
Household,Pest Control,Crawling Insects,48
Household,Pest Control,Flying Insects,30
Household,Pest Control,Garden Pests,10
Household,Pest Control,Insect Repellent,56
Household,Pest Control,Mosquitoes,21
Household,Pest Control,Rodents,11
Household,Clothing Accessories,Hosiery,0
Household,Clothing Accessories,Socks,0
Household,Clothing Accessories,Underwear,0
Household,Parties & Entertaining,Candles,0
Household,Parties & Entertaining,Decorations,0
Baby,Baby Accessories,Baby Bibs,0
Baby,Baby Accessories,Baby Health & Safety,1
Baby,Baby Accessories,Baby Teething & Soothers,0
Baby,Baby Accessories,Baby Toys & Playtime,0
Baby,Baby Accessories,Bath & Skincare,1
Baby,Baby Accessories,Bottles and Baby Feeding,0
Baby,Baby Food,Baby Food 12 Months+,0
Baby,Baby Food,Baby Food 4 Months+,0
Baby,Baby Food,Baby Food 6 Months+,0
Baby,Baby Food,Baby Food 8 Months+,0
Baby,Baby Food,Baby & Toddler Snacks,1
Baby,Baby Food,Organic Baby Food,0
Baby,Baby Formula,Infant,0
Baby,Baby Formula,Newborn,0
Baby,Baby Formula,Specialty,0
Baby,Baby Formula,Toddler,0
Baby,Nappies Wipes,Nappies 12-18 Months (9-12kg),0
Baby,Nappies Wipes,Nappies 18 Months+ (10kg+),0
Baby,Nappies Wipes,Nappies 3-6 Months (5-7kg),0
Baby,Nappies Wipes,Nappies 6-12 Months (7-10kg),0
Baby,Nappies Wipes,Nappy Pants,0
Baby,Nappies Wipes,Newborn Nappies (3-5kg),0
Baby,Nappies Wipes,Swimming Nappies,0
Baby,Nappies Wipes,Wipes & Nappy Changing,0
Pantry,Baking,Bread Mix,13
Pantry,Baking,Cooking Chocolate & Cocoa,37
Pantry,Baking,"Flavouring, Essence & Food Colouring",39
Pantry,Baking,Flour,56
Pantry,Baking,Icing & Cake Decorating,75
Pantry,Baking,"Nuts, Seeds & Coconut",77
Pantry,Baking,Sugar & Sweeteners,79
